item_id,old_item_id,release,song,artist,genre,count
27,8l0vVq8bCkUOK6uC,2018,Not Original,Sevendust,nu metal,10
28,seXdZTSH1rzfo4se,2001,Sonne,Rammstein,industrial metal,422
29,iSlsBlqEhokhMng1,2012,Hummingbird Heartbeat,Katy Perry,pop rock,25
30,7W5L6xjslpNAcYLj,2017,Concrete and Gold,Foo Fighters,grunge,164
31,ADP4XYcUv1HRUFLh,1998,Saw You Drown,Katatonia,doom metal,32
32,ggqXwlrKr9xZL0fW,2005,I Walk Beside You,Dream Theater,progressive metal,68
33,T9rw5U0RMfKrcWMU,2018,If It Feels Good (Then It Must Be),Leon Bridges,disco,27
34,RXoWo0EC6cIxdsUw,2011,You I Need,Amorphis,progressive metal,20
35,ixhYIiyMqEdzsD23,1974,Sweet Home Alabama,Lynyrd Skynyrd,southern rock,336
36,oK0M8BwORMOWOGUF,2003,Brave New Girl,Britney Spears,pop,16
37,Z8lPhlicCDL93Ark,2017,OUTLIER,Bonobo,downtempo,74
38,crCZy21TXQWbFkGy,2016,Worship,Lizzo,worship,36
39,TCFJufRj76rD9AjN,2014,Fire and The Flood,Vance Joy,indie folk,32
40,CAcfgsvOODhPqShX,2003,Toxic,Britney Spears,pop,405
41,J2RqwsINijzbZ8Et,2019,Vai menina,Pedro Sampaio,funk,55
42,XfIpNPcnw1KPLJJE,1976,Love Hangover,Diana Ross,motown,23
43,8FRtvOKGmvhiSygs,2009,Like a Prayer,Madonna,pop,257
44,LUjNA51cRcX3Phgi,2017,Rumor,Lee Brice,country,18
45,6q72beEtWF7Ax0Cy,1989,Automatic Man,Bad Religion,punk,35
46,DPfd4gYgzo8PPdNI,2001,Blacking Out the Friction,Death Cab for Cutie,indie rock,16
47,ZK6GKzBLPxWv4axy,2013,Need It,Half Moon Run,folk,11
48,ydMbTQcsZQ4z5rli,2018,God of All,VNV Nation,futurepop,27
49,xP4yBFzU6zxzoXNp,1978,Hold the Line,Toto,classic rock,276
50,8raUZyJEMPESv1U0,1977,Black Cow,Steely Dan,classic rock,60
51,nRJQ8ZMH1468dgAI,2018,Make It Forever,George Clanton,vaporwave,75
52,oMUbiTrHzJz4JxgO,2017,Sad Ocean,Chihei Hatakeyama,sleep,37
53,0AliCdn6erZdBf2S,1999,Aurora,Foo Fighters,grunge,38
54,SiqwZqZnpzOfOSep,1992,Rest in Peace,Extreme,funk metal,25
55,djMUXGe9KuCx5csK,2012,Laura,Bat for Lashes,chamber pop,100
56,qcYUcxSZmBN1igkD,1998,Believe,Cher,pop,217
57,DDWsvUWLCl8gpWpA,2018,Problema Seu,Pabllo Vittar,axe,78
58,zyz0UbYN4n9rHXex,2015,Down On My Luck,Vic Mensa,deep house,13
59,jx9wXkkgrYR3RkSe,2018,Like Orpheus,Orphaned Land,folk metal,27
60,OYlJem4M8ZOuxDlP,2016,Cheap Thrills,Sia,pop,256
61,OUkZI66QebyJvgIS,1975,Hair of the Dog,Nazareth,hard rock,29
62,cTr6UcEgk4Yp9R4q,2017,Up In Hudson,Dirty Projectors,art pop,35
63,y31mLN3QdeOINHrX,2003,Slow,Kylie Minogue,pop,71
64,91h2Dqs0ti7O3IBM,2018,Underneath The Mistletoe,Sia,pop,10
65,owPjxatK3F2kLYTx,2001,In Too Deep,Sum 41,pop punk,239
66,2l5Bdm4xu8Uw3Qyd,2002,Closure,Chevelle,alternative metal,30
67,6vlbnpuU5Ngei0E7,2018,Art3mis & Parzival,Gunship,electronic,47
68,ye6SUPDliXCR2kMs,2019,Almeda,Solange,experimental hip hop,92
69,iCfkc9SQZ1HftpxS,1998,Pure Morning,Placebo,alternative rock,260
70,Fmc8wMGETqFNJnop,1994,Pretty Good Year,Tori Amos,singer-songwriter,19
71,CryKyU5DP6l9DNB3,1972,All the Young Dudes,Mott the Hoople,glam rock,111
72,P5QZ6aObvNwObwGx,1998,A Little Soul,Pulp,britpop,18
73,Z7QnpPTgYsc4TVLA,2000,Papercut,Linkin Park,nu metal,322
74,XovGsNryRMzXh5UI,2006,Hurt,Christina Aguilera,pop,61
75,8FHwpt0OUXz7foT7,1981,Kids in America,Kim Wilde,new wave,146
76,U7vZRy9ULsBz4WKH,2018,In My Blood,Shawn Mendes,pop,104
77,0RKIUAOJaWQNCWyz,1994,El Chico Del Apartamento 512,Selena,latin pop,16
78,V7T0jaqZH8XQ8Jy2,1989,Head Like a Hole,Nine Inch Nails,industrial rock,180
79,DmJbJy5KQxOCjqzK,2002,Prayer,Disturbed,nu metal,71
80,9EOUvfzk6eOb8KBd,2017,Apocalypse,Cigarettes After Sex,dream pop,174
81,N5LgLFXjeWGe6bwz,1989,I Want to Conquer the World,Bad Religion,punk,81
82,NCS5Uhityjy77E7a,2004,Helena,My Chemical Romance,emo,308
83,lzcGLtFrXW6M9Gd4,2018,Medicina,Anitta,reggaeton,30
84,TYoYVKiQpzhvcatl,2002,Without Me,Eminem,hip hop,300
85,Cl7k1xDo7R5M02vn,1990,Waiting for the Night,Depeche Mode,new wave,101
86,dhCyiNxHQzuKQRIA,1976,Amelia,Joni Mitchell,singer-songwriter,21
87,vpLmGxZNk7APAyrK,2019,LUCKY,Choker,grunge,33
88,vjwHhLg2PrafejVK,1979,Atomic,Blondie,new wave,84
89,iWGgBAoscuNJd8tI,1998,Instrumental,Katatonia,doom metal,24
90,RH4mqGuVYMUH7K3c,2011,She was the Universe,The Ocean,post-metal,12
91,Gv3BIuBV7G8Tt2Hv,2015,Rewind,Leprous,progressive metal,77
92,5mtl4w8NUMRmKTif,2018,Burn,Too Close To Touch,post-hardcore,10
93,5JaBO2JoOR7Is2qC,2001,Face to Face,Daft Punk,house,114
94,pOZmyYM5UtQFCWJN,2018,A Lotta Things,Bonny Doon,folk,32
95,nGMeIfY4hqVArYPZ,2017,The World Is Yours,Arch Enemy,melodic death metal,111
96,SezvoI7y9p6mDvB3,2012,This Is What Makes Us Girls,Lana Del Rey,pop,116
97,FQWAMKhKgutuKwDN,2018,Antipositive,Little Big,hard house,110
98,qKTDiPxNlyKR5VmV,2017,Highway Tune,Greta Van Fleet,hard rock,209
99,ev1Iei16k8GfsTyZ,2018,Reggaeton,J Balvin,reggaeton,38
100,xE6axyRbxW825J3E,2017,Caught in the Middle,Paramore,alternative dance,64
101,wRitMHR0q4OIPDKI,2006,Slow Cheetah,Red Hot Chili Peppers,funk rock,49
102,CGNhtZMctV4KfLwO,2000,Teenage Dirtbag,Wheatus,alternative rock,148
103,XTc37KUdXzBsDGhP,2016,DNCE,DNCE,pop,177
104,1E0rVIvfs9Ii5YEO,2004,Unretrofied,The Dillinger Escape Plan,mathcore,35
105,6dMgaMF9VT5SjaiY,2006,Horse and I,Bat for Lashes,singer-songwriter,25
106,T49WRKbudKPr0STZ,1999,Da Rockwilder,Method Man,hip hop,56
107,kDAbXpp8gZuDSsTe,2013,Orchard,Windhand,doom metal,69
108,lTXfao6t84x9UZqa,2019,Too Bad,Rival Sons,hard rock,61
109,4oL0qcGrHnxJkf7U,2013,The Outbreak,Gustavo Santaolalla,soundtrack,18
110,tNrQZbEXdiPLqsEE,2016,I Need A Forest Fire,James Blake,soul,83
111,FBp7qjAkgBSXK9nh,2011,Bury Me With My Guns,Bobaflex,nu metal,21
112,A8JcVL43n9NCQVGp,2004,Stay Out of Trouble,Kings of Convenience,folk,28
113,Lg06JaIOMHlwFhrG,2005,By The Way,Hinder,alternative rock,11
114,S0rYGG3qtB5IlGGo,2015,for you,jhfly,beats,83
115,VZ0m0MlmdOoqcRL6,2017,Blessed,FKJ,nu jazz,19
116,VAfPQbtXvfEQaFr0,2007,Girlfriend,Avril Lavigne,pop rock,126
117,EdgX65iMI6WItzQq,1968,Hush,Deep Purple,hard rock,95
118,sCwoW8T7fM3YWLSp,1995,Teclo,PJ Harvey,singer-songwriter,33
119,AkGyrviNXUf9Hh2h,2019,It Was in Me,Avril Lavigne,indie pop,26
120,dkm5ZtGgpHgyOct2,2001,Spieluhr,Rammstein,industrial metal,160
121,NPhzwBiHj6ywmydu,2013,To the Last,James Blake,dubstep,17
122,w3EGmEFvRAPcVYfy,1991,When You Sleep,My Bloody Valentine,shoegaze,104
123,d4GPdpE9JxqlzhUd,2001,Mix Tape,Brand New,emo,28
124,TYNIw8nUu8gFZ94j,2005,Panic Attack,Dream Theater,progressive metal,156
125,IvFtcAajHxKWNl7x,1996,Green Man,Type O Negative,gothic rock,44
126,fPJqrZzMYYnUOgpb,2015,Monotony Fields,Shape of Despair,doom metal,29
127,lKi2TsYTx04mfMZe,1977,Easy,Commodores,soul,137
128,g6pL8zWiY2C6xY6p,2001,In Your Eyes,Kylie Minogue,disco,115
129,oZw4lwdsbhOwaxFx,2014,My Silver Lining,First Aid Kit,folk,147
130,3AukcIt4tYzkzACJ,2015,I Found,Amber Run,indie pop,57
131,BUao0iyZWH60LSfo,1980,Lança Perfume,Rita Lee,mpb,56
132,TcUb75QrVdYnF7Jo,2018,God is a woman,Ariana Grande,gospel,168
133,2iaY3BjDPxSGb6te,1961,My Favorite Things,John Coltrane,free jazz,97
134,xhuHfnxTjRkCGvw2,2007,Hospital Beds,Cold War Kids,indie rock,22
135,S7RFdCOEy8yX1StR,2007,Time to Pretend,MGMT,indietronica,282
136,cJDYd61ccx6tgedT,2012,Super Rich Kids,Frank Ocean,soul,118
137,xdVOuwpAMRTMSx7C,2015,Ah-Choo,Lovelyz,k-pop,11
138,zNNib1kPJgnwHpgu,2009,Blood,The Middle East,folk,40
139,C8yCJGkFox1OPXb9,2019,Barstool Warrior,Dream Theater,progressive metal,83
140,974VVjukjjIYWw7z,2013,Miracle Mile,Cold War Kids,indie rock,38
141,qVV4FFDQZfkV1LBT,2016,Hallelujah,Panic! at the Disco,anthem,45
142,QPILZ2MQNEan2OjM,2016,Shrines Of Paralysis,Ulcerate,brutal death metal,24
143,as1XGCjlvfvBlkPp,1998,Changes,2Pac,hip hop,108
144,WM62AG40waeygcAw,2002,Karaoke,Gustavo Cerati,lounge,11
145,s3Q02ICm2s8aF44b,2011,Where the Dead Ships Dwell,In Flames,melodic death metal,77
146,inra0VSBaeGXMSuQ,1994,Past the Mission,Tori Amos,singer-songwriter,15
147,80LS3ppeVurlHCgr,1984,Self Control,Laura Branigan,pop,165
148,PqjX8Jm9lA7ogAe4,2019,Time (Is),Solange,neo soul,47
149,7ge73nWDDxKUUI7e,1999,Electric Relaxation,A Tribe Called Quest,hip hop,171
150,LQqJ4Htn4Z6r7Iru,2000,Where Are You Now,Britney Spears,pop,15
151,4S2N0UNI4K33uo3e,2001,ATWA,System of a Down,alternative metal,250
152,3Q69e1FsZRSWaJod,2003,Metamorphosis,Blut aus Nord,black metal,10
153,QPtUiyuODD03lI3y,2008,Perfect Insanity,Disturbed,nu metal,36
154,63EHEFeQvEOlUrWE,2018,Be Alright,Dean Lewis,pop,98
155,Vd9RjStAUOa8FORV,2005,Remedy,Seether,grunge,118
156,iizCPbXKG3oNqkAW,2012,Feel the Same,Battle Tapes,electronic,26
157,3ddGJ4TmenmyC5Fj,2016,White Iverson,Post Malone,hip hop,83
158,ZmHLTT4SmV21FLGq,2018,Armour,VNV Nation,futurepop,19
159,zxqKvtGMOMGE2ZeX,2017,Mask Off,Future,hip hop,173
160,gDWf6aeMx5gnsEmW,2016,Scuse Me,Lizzo,hip hop,42
161,O3fF3fvCx06bwv0W,2017,Got U (Ready Or Not),Kokab,electronic,18
162,TlDpRXqH3vXZvU1s,2018,Stir Fry,Migos,rap,41
163,1kuk1fAPcHoMMuLm,2017,Black Smoke Rising,Greta Van Fleet,hard rock,115
164,DIenz1hGgjltkjQF,2014,Take Me to Church,Hozier,soul,310
165,7RETcXgtJOJJrdHb,2007,You Can Do It,Ice Cube,rap,24
166,oBiOfx4Y6I2tQxgL,1983,Holiday,Madonna,pop,126
167,ZVpQbENHdsVNc5nj,2006,I Can't Decide,Scissor Sisters,glam rock,35
168,ZZ3qmN9hajrbRblf,2006,I Saw a Light,Bat for Lashes,singer-songwriter,10
169,5W9IJVw2NBgxC6vs,2018,Shit Mirror,Nine Inch Nails,industrial rock,88
170,ikZvYLiaT04EBsEO,2018,"Hey Look Ma, I Made It",Panic! at the Disco,pop rock,95
171,TWt33XGYudxFYkX0,2009,Nobre Vagabundo,Daniela Mercury,latin,27
172,25CXGpwL9tzbw8pR,2010,The Lion Sleeps Tonight,Tight Fit,pop,23
173,pPIOgS4IoxAXQRPx,2005,In Your Honor,Foo Fighters,grunge,297
174,cjE0mjZy6QLHSfie,2002,American Hearts,Piebald,emo,30
175,0SfrHQUFwn6SA1YH,1968,Magic Carpet Ride,Steppenwolf,classic rock,121
176,e2dMuhYngrCdWK4f,2014,Destroyer,The Birthday Massacre,industrial,19
177,bs5DUdgQAHF9c5sE,1999,Let's Get Loud,Jennifer Lopez,latin,113
178,RvyUiZ5yLMPJcUxd,2008,Little Bit,Lykke Li,indie pop,60
179,f7TdJ5xB11oH40YP,1975,Have a Cigar,Pink Floyd,psychedelic rock,165
180,pEG2cxEZV36U7rAm,2017,Heaven,Kane Brown,country,16
181,sqznvwi6V16ayFVO,2013,Rose Tattoo,Dropkick Murphys,folk punk,136
182,jtsz7ZyjoE0zEYxn,1999,Conselho,Almir Guineto,samba,14
183,h0LCV99d7Kd4dwtv,2017,Sign of the Times,Harry Styles,pop,173
184,NgG1nExRsuBzN1Wr,1989,Inner Self,Sepultura,thrash metal,83
185,QCXRQ9ClIIsHnqQH,2003,October Song,Amy Winehouse,jazz,24
186,FipNBIzXJqIqYzqE,2012,Sadness Comes Home,Converge,mathcore,39
187,TXsAlxq9BAxuxQUa,2018,Attention Attention,Shinedown,post-grunge,77
188,POdgTSLBnoFJaj2x,2010,The Suburbs,Arcade Fire,indie rock,402
189,wIbWmXeG699KkzQA,1967,To Love Somebody,Bee Gees,pop,53
190,QwfP0iTaNTiv5e2w,1992,This Love,Pantera,groove metal,142
191,S2yaWKw6TxBbkxD0,1998,Distrust,Katatonia,doom metal,21
192,lpdZcQBamA2fn19d,2017,Bad at Love,Halsey,pop,80
193,KJKNtHhk0i9mmHK8,1987,Fighting the World,Manowar,power metal,81
194,FfBMBYNu5ZV3NuEm,1964,Maria Moita,Nara Leão,bossa nova,18
195,dDjHNgoPPCq5M7w1,2019,Bruises,Lewis Capaldi,pop rock,98
196,IijEHgw0iZIkvel9,2005,Na Na Na Na Naa,Kaiser Chiefs,britpop,14
197,9c0fLWLOQrRNqzuU,1964,My Guy,Mary Wells,motown,45
198,EmPJO7fTwQlTDjGG,2013,Team,Lorde,synthpop,189
199,6lNxb8ySRc5NNYKG,1991,Yellow Ledbetter,Pearl Jam,grunge,159
200,Hm8in31pI5NGeMt8,1989,It Must Look Pretty Appealing,Bad Religion,punk,14
201,7ybFOESP4YA8HJ5Q,2011,I Wanna Go,Britney Spears,electronic,70
202,tmGWD6trbjg6l12G,2003,Pacific Theme,Broken Social Scene,indie rock,61
203,OG82zZZM9WUlWHgw,1997,Barrel of a Gun,Depeche Mode,new wave,78
204,kLRIapemEFgO5IIP,1998,Desaparecido,Manu Chao,world,56
205,8tMTbh8ddlyaLulz,1986,Sorry Somehow,Hüsker Dü,alternative rock,21
206,6KFS3EwPE7GUgSkm,1999,Table for Glasses,Jimmy Eat World,emo,15
207,xHB3nRubdLmGeDDu,2012,Every Single Night,Fiona Apple,jazz,89
208,8pUOu6ivn8SG7Dpx,1998,Baby Britain,Elliott Smith,singer-songwriter,58
209,f0WAGPqj2WksdyBE,2016,Salvaje,Fuel Fandango,pop,10
210,4XQtJC6rZPmf8Vbf,2015,Stripped,Rammstein,industrial metal,56
211,4CsIIxfM6pLV56aV,2007,Fix Your Face,The Dillinger Escape Plan,mathcore,20
212,Y9MLLewiXNuZWQyF,2018,Armed and Dangerous,Juice WRLD,hip hop,16
213,rt4xowVdL9hQdytn,1997,Doctor Jones,Aqua,eurodance,54
214,GlkmfIGTmkmWIGW8,1984,Alone Again,Dokken,hard rock,38
215,Wz4xnNaiuFYNYxB4,2006,Anthem,Emancipator,ambient,58
216,X1skTNKZ8HuwEDwC,2019,My Skin My Logo,Solange,soul,37
217,iroXZvot81HwafrP,2004,Take Your Mama,Scissor Sisters,glam rock,101
218,n02RumMUuEhA8ovH,2002,Gasoline,Seether,grunge,32
219,oqLVWJQ5bISwcFRb,1999,All Star,Smash Mouth,soundtrack,266
220,qEyliF7W1SiylATj,2017,Fire,Beth Ditto,electropop,34
221,m5GwlBhxrdJkkLib,1995,Common People,Pulp,britpop,274
222,mqiCwfYLUMjsHOn9,2013,Our Love Comes Back,James Blake,downtempo,19
223,M7GNLQgKVM5pw0vD,2008,Diamonds for Tears,Poets of the Fall,hard rock,13
224,4wuiWCjBuEPss2KL,2009,Fire,Kasabian,indie rock,171
225,K0myPJh5XVwn9WbT,1989,No Control,Bad Religion,punk,136
226,eZO9mnnl2T2ngRDN,2004,My Happy Ending,Avril Lavigne,pop rock,125
227,I1CqFpSGERCa8iU1,2016,song for isabelle,Pierce The Veil,post-hardcore,10
228,DurvXGD371KZWYyV,2019,Nothing,Millencolin,skate punk,25
229,bhcHEwwRfgZBUAHW,2017,Make War,From First to Last,emocore,34
230,tWX1RIqjDMFtqIVC,2018,Only Satellites,VNV Nation,trance,21
231,cuZSydISrGA402Gi,2014,I Got U,Duke Dumont,house,62
232,WGVP381aoqJBb29l,2016,I Fall Apart,Post Malone,rap,84
233,1Q92YfORspJOYUSj,1994,Amor Prohibido,Selena,tejano,34
234,UOlPQqvoWu5H2T4D,1998,Seductive Barry,Pulp,britpop,14
235,T65RE7hs6e9AlvbY,1969,My Cherie Amour,Stevie Wonder,motown,54
236,1JdR8MUN8KuSqrym,2017,Safari Song,Greta Van Fleet,hard rock,104
237,rysmxYZVR1Z4i0Xy,2019,Souvenir,Avril Lavigne,pop,23
238,z7SaspRw9RB8Qhcv,1997,Quero Te Encontrar,Claudinho & Buchecha,funk carioca,13
239,iMN8E2sXAraaXQ76,2015,Castle,Halsey,pop,66
240,oxxr5VI25KY0Z9IQ,2009,Into You,Dead By Sunrise,nu metal,13
241,8nG0vZiRQXrHbrQK,2000,Crawling,Linkin Park,nu metal,365
242,EtaGiw3umpghuCGL,2000,Take a Look Around,Limp Bizkit,nu metal,354
243,t1GzPuUJ3AEemIms,2019,Persephone,Tamino,folk,22
244,8lTtD9yKv64gVcvD,2003,Pass This On,The Knife,electronica,152
245,sZMOjky7GeTLz2v9,1999,Paseo Inmoral,Gustavo Cerati,rock en espanol,19
246,2qCEuTFUIPAioW4e,2004,My Selene,Sonata Arctica,power metal,30
247,9F41T5Gd97ylZyXY,2016,Yield To Naught,Ulcerate,brutal death metal,19
248,qbQPIU7I8AJy3cPQ,2017,This Town,Niall Horan,folk,42
249,VyYYi6qTYm5rgXqD,2016,Bitch,Von wegen Lisbeth,electro,25
250,OnOUU0qiN0pXTDeJ,1970,All Things Must Pass,George Harrison,classic rock,127
251,0jDXbu8lJOHxAHfF,2006,Soulreaper,Dissection,melodic black metal,30
252,CtE0wfbV2snB5I95,2012,Strange,Adana Twins,deep house,14
253,kJeDKXoAmvMbt0aw,2009,Fader,The Temper Trap,indie rock,38
254,Nr98n0Y89fEDd5BK,1983,Hello,Lionel Richie,soul,84
255,ZjoQ9y51NhFHLnDf,2019,HP,Maluma,reggaeton,42
256,icYOH9AY9MuVe2EH,2013,From Past to Present,Jeremy Soule,soundtrack,82
257,0GdNEDW8Vwu78LXE,2015,Lost in Time,Celldweller,electronic rock,9
258,x3ltjyBuZVokhEFy,1978,Blame It on the Boogie,The Jacksons,disco,77
259,Un09ByUapzcUFKds,2017,Caetano Veloso,Johnny Hooker,glam rock,38
260,DsVUS1inUYUYujXA,2007,Lurch,The Dillinger Escape Plan,mathcore,22
261,3G6YdquxUGPnpubQ,2019,Bigger Wow,Avril Lavigne,pop,22
262,XxYlyuLdwsKuuB2F,2018,Prey,Parkway Drive,power metal,159
263,32m5suoC94ytD8Ed,2019,7 rings,Ariana Grande,rap,361
264,N3NgbW7GRmCSq7em,1997,Kiss Me,Sixpence None the Richer,pop,208
265,8tmwqh8sMrsKiRkP,2005,Simplest Mistake,Seether,hard rock,11
266,cmJFsFqZB7lM44ep,2012,Burning Leaves,Ensiferum,viking metal,33
267,IhyQ1DnEWPcREULQ,2019,We Deal with the Freak'n (Intermission),Solange,soul,34
268,oYQ1IYmDvICWXyRF,2011,Dear Rosemary,Foo Fighters,hard rock,52
269,BIyk01rpo7UvuW3H,1990,Story of My Life,Social Distortion,rockabilly,87
270,LDQd16A6wYdgFzfQ,1996,Love Thing,Spice Girls,pop,26
271,Nr2tkkCmHBcCRKVq,2014,The Devil in I,Slipknot,nu metal,223
272,f6TFW5NLJzQRs8aC,1971,Journey in Satchidananda,Alice Coltrane,free jazz,63
273,xOtzCa65BL7D2oSV,2014,Learning To Fly,Stratovarius,power metal,19
274,T2AmsevZ8VHfZ9rp,1992,Symphony of Destruction,Megadeth,speed metal,312
275,CdDsV7m7R5fzi2ud,1973,Kodachrome,Paul Simon,classic rock,67
276,qkKzXDozPu5qsy6Z,1993,Pennyroyal Tea,Nirvana,grunge,159
277,2qyKesnC8z0qNywe,2005,Suddenly I See,KT Tunstall,singer-songwriter,133
278,YnCZAEuMzX6tugzs,1991,Arise,Sepultura,thrash metal,135
279,MNwvBqxJEZ43Nmln,2018,Baby Forgive Me,Robyn,art pop,59
280,kknVS9LoXpLsG161,1987,Kick,INXS,pop rock,231
281,FMpZdnje6wkNybkJ,2005,Never Enough,Dream Theater,progressive metal,51
282,mOCq6YBMcFDCYEPD,2007,As Much As I Ever Could,City and Colour,singer-songwriter,17
283,8cuzjYU2ojpqgYq0,2019,Jerrod,Solange,soul,42
284,WlLxC5Klc4NhOJch,2018,Dancing's Not a Crime,Panic! at the Disco,pop,44
285,HXW9FBGZdpXfZSDR,1981,Love Song,Simple Minds,new wave,11
286,PKxFivwMWgHm9M1W,2016,Fish Bowl,Kero Kero Bonito,electropop,18
287,GtOdRemlsujpSAUE,2006,Carnival of Rust,Poets of the Fall,alternative rock,98
288,VBCxYupDYSLkao8D,2010,The Best Is Yet To Come,Scorpions,hard rock,21
289,b15nkmpmStC43Yr8,2014,Let It Go,James Bay,indie pop,99
290,gy6hcVEwR2Qmu68N,1989,Lambada - Original Radio Edit,Kaoma,latin,11
291,5BmZgmf2n4yXZHeC,2009,Brother Sport,Animal Collective,experimental,35
292,atOPJOcBxoTaNZAK,2013,Strong,London Grammar,minimal,116
293,L2TYezk0jPA3pAQh,2017,Run,Foo Fighters,rock,130
294,FfOmrawf4xtqX2WS,1994,Rotten Apple,Alice in Chains,grunge,80
295,uoCx2WWnIPgzV7ES,1997,Du hast,Rammstein,industrial metal,467
296,D8iXEluCQ51t1dP0,2003,Whisper,Evanescence,gothic rock,73
297,6EzICdy0NRPVs4QL,1983,Our House,Madness,ska,178
298,BIkHq5aEWK01kmqy,1973,Simple Man,Lynyrd Skynyrd,southern rock,175
299,EwmIJZHTwM5EcuSL,1985,Rough Boy,ZZ Top,southern rock,65
300,MDK6g1G24Kxz0Upv,2011,We R Who We R,"Chunk! No, Captain Chunk!",easycore,15
301,Q8MqOeX1dJSEWC24,2018,Message in the Amber,Amorphis,melodic death metal,86
302,PFYen7nm8cFFUub4,1978,Sultans of Swing,Dire Straits,classic rock,520
303,cWXpvnMaoOLOcPZx,2009,Circus,Britney Spears,pop,170
304,gopJTCZRL146z4GL,1979,Realce,Gilberto Gil,mpb,47
305,8F0Z8vnR9kLzNuL9,2015,Ezra Was Right,Grandbrothers,electronica,44
306,pmypwnn42IpyCIi1,1995,Disco 2000,Pulp,britpop,188
307,OO0rN58nY7k87iBk,1989,I Want Something More,Bad Religion,punk,20
308,aYNKfpXgSYHPTUe5,1992,Rise,Pantera,groove metal,82
309,ozorILeSOu3Xqb3D,2014,Exhale,Amaranthe,power metal,24
310,HyoVtzW9LmcJFCDQ,2013,Car Radio,Twenty One Pilots,indie pop,95
311,gzaaKDMmuTLkGJ62,1982,Poison Arrow,ABC,new romantic,31
312,cyye6IBlK9SYYanW,2018,Anthem,Greta Van Fleet,blues,91
313,Ox8Cbvs3VcKdEax5,1991,Love to Hate You,Erasure,new wave,61
314,1Xx2iKEjSigUT3sD,1980,Natural Science,Rush,progressive rock,83
315,9heKoKCcU5HHMYsc,2013,Hush Hush,Avril Lavigne,pop rock,15
316,1UG1FUAA9GKUcs1H,2018,Felices Los 4,Maluma,reggaeton,49
317,XIBmCrLVOOpESgwQ,2018,Alles auf Rausch,Feine Sahne Fischfilet,ska punk,27
318,rDxEYnJrUFI7uKW1,1989,Anxiety,Bad Religion,punk,18
319,kYZfwJ32DItSZsDF,2018,500 PS,Bonez MC,rap,14
320,ZIH5OLFr8FYplHcp,2007,Home,Three Days Grace,hard rock,53
321,qsLNY4ACKEWh6wzD,2009,My Ship Isn't Pretty,Kings of Convenience,folk rock,20
322,00mLjKFmaTv9MdaB,2009,Boom Boom Pow,The Black Eyed Peas,hip hop,40
323,iYaUvlzmkxensIFx,2016,Varanda Suspensa,Céu,mpb,74
324,zQiihdPOQ7NXfve9,2019,The Flow,Daniel Norgren,singer-songwriter,22
325,FIUxQojlhC0jpuBo,1969,Pact With Lucifer,Coven,psychedelic rock,15
326,HIOztkPb4YCd1U6p,2014,thin,iamamiwhoami,synthpop,20
327,AlHLMX1e0F9O2V3J,2002,Ashamed,Muse,progressive rock,15
